,0
0,Connecticut
1,Delaware
2,Indiana
3,Iowa
4,Maryland
5,Massachusetts
6,Minnesota
7,Mississippi
8,Missouri
9,Montana
10,Nebraska
11,Nevada
12,New Hampshire
13,New Jersey
14,North Carolina
15,Pennsylvania
16,Rhode Island
17,South Carolina
18,Wisconsin
